D00,D01
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
9.345752e-05,5.8293295e-05
