D11,D21,D12,D22
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
5.778712376049637e-05,5.9394960619478846e-06,5.9394960619478846e-06,6.975039984940803e-05
