D10,D11
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
-1.1871961e-05,4.4191405e-05
